numeric__Model_Year,numeric__Mileage,numeric__Engine_Size,horsepower__Horsepower,other_numeric__Doors,other_numeric__Owner_Count,other_numeric__Owner_Count,categorical__Brand_BMW,categorical__Brand_Ford,categorical__Brand_Honda,categorical__Brand_Hyundai,categorical__Brand_Tesla,categorical__Brand_Toyota,categorical__Transmission_Automatic,categorical__Transmission_Manual,categorical__Fuel_Type_diesel,categorical__Fuel_Type_electric,categorical__Fuel_Type_hybrid,categorical__Fuel_Type_petrol,ratio_pipeline__Engine_Size,ratio_pipeline__Horsepower,ratio_pipeline__HP_to_Engine_Ratio
0.0,0.5995865916942513,0.7857142857142853,1.4509550403698441,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7857142857142853,1.1261261261261262,0.4058993984925865
0.0,-0.016608606409274224,-1.1428571428571426,1.925444435541173,1.0,0.6666666666666667,0.6666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.1428571428571426,1.4864864864864864,9.507237729904586
0.6,0.431534669923823,0.42857142857142855,0.11052249901084003,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.42857142857142855,0.0,0.0
0.0,0.0,0.0,-0.9333541703660835,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6846846846846847,0.0
0.6,-0.9916161951981035,0.0,-0.04368655441984186,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.6,1.2175452797733481,0.6428571428571427,1.4509550403698441,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6428571428571427,1.1261261261261262,0.612724037796251
0.0,0.4772264060941588,-0.2142857142857141,-0.18603337297124053,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.2142857142857141,-0.11711711711711711,0.12255029438048232
0.2,0.0,-1.1428571428571426,0.9290167056813824,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.1428571428571426,0.7297297297297297,6.720929534534594
0.6,-1.0456483716627398,0.5,-1.2536345121067305,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,-0.9279279279279279,-2.020982023579577
-0.4,-0.15729752388661628,1.2142857142857142,-0.09113549393697475,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2142857142857142,0.0,0.0
1.6,0.18571573119787224,-0.5714285714285712,-1.2061855725895976,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.5714285714285712,-0.8918918918918919,-0.8411836081535536
0.0,-1.3681502146543125,-1.2857142857142854,-0.09113549393697475,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.2857142857142854,-0.04504504504504504,5.116656331288673
0.2,1.0345615125540248,0.14285714285714296,1.8424087913861904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714296,1.4234234234234233,2.0192287515655076
